team	name	age	positions	roster_status	contract	expiry
NYK	Pacôme Dadiet	21	PF	active	2026:T2983680;2027:T5373608	RFA
NYK	Mohamed Diawara	21	PF,SF	active	2026:2622139;2027:2753246;2028:2884353;2029:T3019000	UFA
NYK	Jordan Clarkson	34	PG,SG	active	2026:2449421	UFA
NYK	Andre Drummond	33	C	active	2026:2449421	UFA
NYK	Tyler Kolek	25	PG	active	2026:2296271;2027:T2486995	RFA
TOR	Scottie Barnes	25	SG,PF	active	2026:41754690;2027:44847630;2028:47940570;2029:51033510	UFA
TOR	Brandon Ingram	28	PF,SF	active	2026:40000000;2027:P41904762	UFA
TOR	Immanuel Quickley	27	PG	active	2026:32500000;2027:32500000;2028:32500000	UFA
TOR	RJ Barrett	26	SG	active	2026:29616071	UFA
TOR	Jakob Poeltl	30	C	active	2026:P19500000;2027:27300000;2028:29484000;2029:27300000	UFA
TOR	Gradey Dick	22	SG,SF	active	2026:T7131510	RFA
TOR	Collin Murray-Boyles	21	PF	active	2026:6649560;2027:T6966000;2028:T8874684	RFA
TOR	Allen Graves	20	PF	active	2026:4065720;2027:4268880;2028:4472640;2029:6887866	RFA
TOR	Ja'Kobe Walter	21	SG	active	2026:T3811800;2027:T5870172	RFA
TOR	Andre Jackson Jr.	24	SG,PG,SF	active	2026:2449421	RFA
TOR	Kyle Anderson	32	SF,PF	active	2026:2449421	UFA
TOR	Trayce Jackson-Davis	26	PF,C	active	2026:T2406205	UFA
TOR	Jamison Battle	25	SF	active	2026:2296271	RFA
TOR	Jamal Shead	24	PG	active	2026:T2296271	RFA
TOR	Alijah Martin	24	PG	active	2026:2185116;2027:2571895	RFA
CLE	Donovan Mitchell	29	SG	active	2026:50105628;2027:60937500;2028:65812500;2029:70687500;2030:P75562500	UFA
CLE	Evan Mobley	25	PF,C	active	2026:50105628;2027:53817156;2028:57528684;2029:61240212	UFA
CLE	Jarrett Allen	28	C	active	2026:28000000;2027:30240000;2028:32480000	UFA
CLE	Max Strus	30	SG,SF	active	2026:16660836	UFA
CLE	Sam Merrill	30	SG	active	2026:9160715;2027:9839285;2028:10517856	UFA
CLE	Tre Mann	25	PG	active	2026:8000000;2027:T8000000	UFA
CLE	Jaylon Tyson	23	SF	active	2026:T3658560;2027:T5641500	RFA
CLE	Thomas Bryant	29	C	active	2026:2449421	UFA
CLE	Mario Hezonja	31	PF,SF	active	2026:2449421	UFA
CLE	Nae'Qwan Tomlin	25	SF,PF	active	2026:2411090	RFA
CLE	Craig Porter Jr.	26	PG	active	2026:T2406205	UFA
CLE	Tyrese Proctor	22	PG	active	2026:2150917;2027:2525901;2028:T2735698	UFA
CLE	Meleek Thomas	20	SG,PG	active	2026:1357763;2027:2294370;2028:2694363;2029:T2918152	RFA
DET	Cade Cunningham	24	PG	active	2026:50105628;2027:53817156;2028:57528684;2029:61240212	UFA
DET	John Collins	28	PF	active	2026:17000000;2027:17000000;2028:17000000	UFA
DET	Duncan Robinson	32	PF,SF	active	2026:15992957;2027:15151222	UFA
DET	Isaiah Joe	27	SG	active	2026:11323006;2027:T11323006	UFA
DET	Ausar Thompson	23	SG,SF	active	2026:T11117925	RFA
DET	Kevin Huerter	27	SG	active	2026:9507042;2027:8746479;2028:T8746479	UFA
DET	Ron Holland II	21	SF,PF	active	2026:T9069600;2027:T11491183	RFA
DET	Paul Reed	27	C,PF	active	2026:5602689	UFA
DET	Ebuka Okorie	19	PG	active	2026:4481280;2027:4705440;2028:T4929360;2029:T7571497	RFA
DET	Daniss Jenkins	25	PG	active	2026:T4000000	RFA
DET	Javonte Green	33	SF	active	2026:3943679	UFA
DET	Gary Harris	31	SG	active	2026:P3815861	UFA
DET	Taurean Prince	32	SF	active	2026:P3815861	UFA
DET	Tolu Smith III	26	PF	active	2026:T2411090	RFA
DET	Chaz Lanier	24	SG	active	2026:2150917;2027:2525901;2028:T2735698	RFA
DET	Jalen Duren	22	C	active	2026:PENDING	RFA
IND	Pascal Siakam	32	PF	active	2026:48924624;2027:52298736	UFA
IND	Ivica Zubac	29	C	active	2026:20342140;2027:21790300	UFA
IND	Andrew Nembhard	26	PG	active	2026:19550160;2027:20998320	UFA
IND	Obi Toppin	28	PF	active	2026:15000000;2027:16025000	UFA
IND	T.J. McConnell	34	PG	active	2026:11000000;2027:11800000;2028:T11800000	UFA
IND	Aaron Nesmith	26	SF	active	2026:11000000;2027:19418000;2028:20971440	UFA
IND	Jarace Walker	22	PF,SF	active	2026:T8478541	RFA
IND	Kelly Oubre Jr.	30	SF	active	2026:8050000;2027:8450000	UFA
IND	Ben Sheppard	25	SG	active	2026:T5031668	RFA
IND	Jay Huff	27	C	active	2026:2667944;2027:T3005085	UFA
IND	Quenton Jackson	27	SG,PG	active	2026:2584539;2027:2934742	UFA
IND	Larry Nance Jr.	33	C,PF	active	2026:2449421	UFA
IND	Johnny Furphy	21	SG,SF	active	2026:2296271;2027:T2486995	RFA
IND	Tyrese Haliburton	26	PG	disabled	2026:48924624;2027:52298736;2028:55672848	UFA
MIL	Tyler Herro	26	SG	active	2026:33000000	UFA
MIL	Myles Turner	30	C	active	2026:26584164;2027:27850077;2028:P29115990	UFA
MIL	Kyle Kuzma	31	PF	active	2026:20490152	UFA
MIL	Gary Trent Jr.	27	SG	active	2026:15200000;2027:16400000;2028:16400000;2029:16000000	UFA
MIL	Caris LeVert	31	SF,SG	active	2026:14809200	UFA
MIL	AJ Green	26	SG,SF	active	2026:10044644;2027:10848215;2028:11651786;2029:12455355	UFA
MIL	Brayden Burries	20	SG	active	2026:6417360;2027:6738000;2028:T7058520;2029:T8999613	RFA
MIL	Jaime Jaquez Jr.	25	SF,SG	active	2026:T5939141	RFA
MIL	Ousmane Dieng	23	PF	active	2026:5750000;2027:5750000;2028:T5750000	UFA
MIL	Nate Ament	19	SF,SG	active	2026:5502000;2027:5777280;2028:T6052200;2029:T8648594	RFA
MIL	Kevin Porter Jr.	26	PG,SG	active	2026:P5390700	UFA
MIL	Kel'el Ware	22	C	active	2026:T4654920;2027:T7135992	RFA
MIL	Ryan Rollins	23	SG	active	2026:4000000;2027:P4000000	UFA
MIL	Kasparas Jakucionis	20	PG,SG	active	2026:3841680;2027:T4024440;2028:T6205686	RFA
MIL	Jericho Sims	27	PF	active	2026:P2801346	UFA
MIL	Pete Nance	26	PF,C	active	2026:2537526;2027:T2756912	UFA
MIL	Bogoljub Marković	21	PF	active	2026:1357763;2027:2294370;2028:2694363;2029:T2918152	RFA
MIA	Giannis Antetokounmpo	31	PF,C,SF,SG	active	2026:58456566;2027:P62786682	UFA
MIA	Bam Adebayo	29	C,PF	active	2026:49488300;2027:53447364;2028:P57406428	UFA
MIA	Andrew Wiggins	31	SF,SG	active	2026:P30169644;2027:16510000;2028:P17320356	UFA
MIA	Nikola Jovic	23	SF,SG	active	2026:16200000;2027:14904000;2028:15096000;2029:16200000	UFA
MIA	Bobby Portis	31	C,PF	active	2026:14521414;2027:P15597074	UFA
MIA	Davion Mitchell	27	PG	active	2026:12400000	UFA
MIA	Tim Hardaway Jr.	34	SG,SF	active	2026:6065000	UFA
MIA	Dru Smith	28	PG	active	2026:2584539;2027:T2934742	UFA
MIA	Simone Fontecchio	30	SF	active	2026:2449421	UFA
MIA	Pelle Larsson	25	SG,SF	active	2026:T2296271	RFA
MIA	Myron Gardner	25	SG	active	2026:2150917;2027:2525901	RFA
MIA	Ryan Conwell	22	PG,SG	active	2026:1357763;2027:2294370;2028:T2694363	RFA
ORL	Franz Wagner	24	SF	active	2026:41754690;2027:44847630;2028:47940570;2029:51033510	UFA
ORL	Paolo Banchero	23	PF	active	2026:41240250;2027:44539470;2028:47838690;2029:51137910;2030:P54437130	UFA
ORL	Desmond Bane	28	SG,SF	active	2026:39446090;2027:42166510;2028:44886930	UFA
ORL	Jalen Suggs	25	PG	active	2026:32400000;2027:29600000;2028:26800000;2029:26700000	UFA
ORL	Wendell Carter Jr.	27	C	active	2026:18102000;2027:19550160;2028:T20998320	UFA
ORL	Anthony Black	22	SG,PG	active	2026:T10106316	RFA
ORL	Goga Bitadze	27	C	active	2026:7608696	UFA
ORL	Tristan Da Silva	25	PF	active	2026:T3991200;2027:T6138466	RFA
ORL	Jase Richardson	20	SG	active	2026:3132360;2027:T3282000;2028:T5910882	RFA
ORL	Jamal Cain	27	SF	active	2026:T2584539	UFA
ORL	Jevon Carter	30	PG	active	2026:2449421	UFA
ORL	Jonathan Isaac	28	PF,SF	active	2026:2449421	UFA
ORL	Nikola Vucevic	35	C	active	2026:2449421	UFA
ORL	Noah Penda	21	SF,PF	active	2026:2150917;2027:2525901;2028:T2735698	RFA
GSW	Stephen Curry	38	PG	active	2026:62587158	UFA
GSW	Jimmy Butler	36	SF,SG	active	2026:56832773	UFA
GSW	Draymond Green	36	PF,SF	active	2026:27678571	UFA
GSW	Kristaps Porzingis	31	PF	active	2026:20000000;2027:P20000000	UFA
GSW	Moses Moody	24	SG	active	2026:12500000;2027:13425925	UFA
GSW	Al Horford	40	C,PF	active	2026:6822000;2027:P7163100	UFA
GSW	Yaxel Lendeborg	23	SF,PF	active	2026:6096240;2027:6401280;2028:T6706200;2029:T8899127	RFA
GSW	De'Anthony Melton	28	PG	active	2026:6064000;2027:P6367200	UFA
GSW	Brandin Podziemski	23	SG	active	2026:T5679458	RFA
GSW	Gui Santos	24	SF	active	2026:4629630;2027:5000000;2028:P5370370	UFA
GSW	Charles Bassey	25	C	active	2026:2449421	UFA
GSW	Gary Payton II	33	PG	active	2026:2449421	UFA
GSW	Will Richard	23	PG	active	2026:2150917;2027:2525901;2028:T2735698	RFA
LAC	Kawhi Leonard	35	SF	active	2026:50300000	UFA
LAC	Darius Garland	26	PG	active	2026:42166510;2027:44886930	UFA
LAC	Rui Hachimura	28	PF	active	2026:14000000;2027:T14000000	UFA
LAC	Derrick Jones Jr.	29	PF,SF	active	2026:10476190	UFA
LAC	Keaton Wagler	19	SG,PG	active	2026:9674760;2027:10158240;2028:T10641960;2029:T13483363	RFA
LAC	Brook Lopez	38	C	active	2026:T9187500	UFA
LAC	Isaiah Jackson	24	C	active	2026:7000000;2027:6400000	UFA
LAC	Kris Dunn	32	PG	active	2026:5684800	UFA
LAC	Jordan Miller	26	SF	active	2026:5300000;2027:5000000;2028:T5000000	UFA
LAC	Yanic Niederhauser	23	C	active	2026:2880960;2027:T3018480;2028:T5448356	RFA
LAC	Kobe Sanders	24	SG,SF	active	2026:2622139;2027:2753246;2028:2884353;2029:T3019000	UFA
LAC	Cameron Christie	21	PG	active	2026:2296271;2027:T2486995	RFA
LAC	Johni Broome	24	PF,C	active	2026:2150917;2027:2525901;2028:T2735698	RFA
LAC	Baba Miller	22	C	active	2026:1705630;2027:2294370;2028:2694363;2029:T2918152	RFA
LAC	Bennedict Mathurin	23	SG,SF	active	2026:PENDING	RFA
LAC	Bradley Beal	33	SG	disabled	2026:6424800;2027:P6746040	UFA
